Servidor de administración virtual,Grupo,Dispositivo,Placa madre,CPU,"Memoria, en MB",Almacenamiento de datos,"Total, en GB","Total disponible, en GB",Adaptador de video,Controlador de interfaz de red,Tarjeta de sonido,Unidad de disco óptico,Monitor,Dirección IP:,Dirección IPv6
,Matriz,PCF0273,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 411/480, ST1000DM010-2EP102 943/1000",1480,1354,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (A8:5E:45:68:DC:23),"Intel(R) Display Audio, High Definition Audio Device",,"Generic PnP Monitor, Generic PnP Monitor (AQPK81A000145?m)",192.168.0.236,N/D
,Matriz,PCF0274,843B,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,Intel Optane+466GBSSD 183/500,500,183,Intel(R) UHD Graphics 630,"Realtek RTL8821CE 802.11ac PCIe Adapter (D8:9C:67:DA:E6:3D), Realtek PCIe GbE Family Controller (C8:D9:D2:B8:BB:6B)","Realtek High Definition Audio, Intel(R) Display Audio",hp HLDS DVDRW  GUD1N,"Generic PnP Monitor, Generic PnP Monitor",192.168.0.65,N/D
,Matriz,PCF0275,843B,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,16384,Intel Optane+932GBHDD 753/1000,1000,753,Intel(R) UHD Graphics 630,"Bluetooth Device (Personal Area Network) (D8:9C:67:DB:00:3C), Realtek RTL8821CE 802.11ac PCIe Adapter (D8:9C:67:DB:00:3B), Realtek PCIe GbE Family Controller (C8:D9:D2:B8:B5:47)","Realtek High Definition Audio, Sonido Intel(R) para pantallas",hp HLDS DVDRW  GUD1N,Generic Monitor (1970W),192.168.0.204,N/D
,Matriz,PCF0277,843B,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,12288,Intel Optane+932GBHDD 796/1000,1000,796,Intel(R) UHD Graphics 630,"Realtek RTL8821CE 802.11ac PCIe Adapter (DC:A2:66:51:CC:C7), Realtek PCIe GbE Family Controller (80:CE:62:F2:C9:05)","Realtek High Definition Audio, Sonido Intel(R) para pantallas",hp HLDS DVDRW  GUD1N,"Generic Monitor (S22A33x) (H4TW300835), Generic Monitor (HP P204)",192.168.0.50,N/D
,Matriz,PCF0278,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 338/480,480,338,NVIDIA GeForce 210,Realtek PCIe GbE Family Controller (A8:5E:45:6E:AB:B2),"NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio",,"Generic PnP Monitor, Generic PnP Monitor (KPXI91A009784)",192.168.0.78,N/D
,Matriz,PCF0279,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,8192,HS-SSD-C100 480G 195/480,480,195,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (A8:5E:45:6D:81:90),"NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA Virtual Audio Device (Wave Extensible) (WDM)",,"Generic PnP Monitor (AQPK81A000162?]), Generic PnP Monitor (AQPK81A000040)",192.168.0.233,N/D
,Matriz,PCF0280,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,16384,"KINGSTON SA400S37240G 64/240, ST500DM002-1BD142 349/500",740,413,NVIDIA GeForce 210,"Realtek PCIe GbE Family Controller (14:EB:B6:BF:1F:4B), Realtek PCIe GbE Family Controller (A8:5E:45:6D:81:1A)","NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio",,"Generic PnP Monitor, Generic PnP Monitor (3CQ0500JCY)",192.168.0.91,N/D
,Matriz,PCF0282,843B,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,8192,"KINGSTON SA400S37120G 27/120, SAMSUNG HD161GJ 94/160",280,121,Intel(R) UHD Graphics 630,"Bluetooth Device (Personal Area Network) (4C:EB:BD:12:DE:A2), Realtek RTL8821CE 802.11ac PCIe Adapter (4C:EB:BD:12:DE:A1), Realtek PCIe GbE Family Controller (04:0E:3C:20:8F:E2)","Realtek High Definition Audio, Intel(R) Display Audio",hp PLDS DVDRW  DU8AESH,"Generic Monitor (1970W), Generic Monitor (1970W)",192.168.0.149,N/D
,Matriz,PCF0284,PRIME H310M-E R2.0,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,8192,ST1000DM010-2EP102 903/1000,1000,903,NVIDIA GeForce GTX 1050 Ti,Realtek PCIe GbE Family Controller (3C:7C:3F:17:81:75),"High Definition Audio Device, NVIDIA High Definition Audio",,"Generic PnP Monitor (H1AK500000), Generic PnP Monitor",192.168.0.139,N/D
,Matriz,PCF0289,3718,Intel(R) Core(TM) i5-9400T CPU @ 1.80GHz,16384,WDC PC SN520 SDAPMUW-512G-1001 286/512,512,286,Intel(R) UHD Graphics 630,"Bluetooth Device (Personal Area Network) (00:45:E2:16:FC:B6), Realtek PCIe GbE Family Controller (9C:5A:44:99:FE:21), Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC (00:45:E2:16:FC:B5)","Realtek High Definition Audio, Intel(R) Display Audio",PLDS DVD-RW DA8AESH,Generic PnP Monitor,192.168.0.208,N/D
